순위,가수이름,노래제목
1,AKMU (악뮤),Love Lee
2,AKMU (악뮤),후라이의 꿈
3,정국,Seven (feat. Latto) - Clean Ver.
4,"다이나믹 듀오, 이영지","Smoke (Prod. Dynamicduo, Padi)"
5,NewJeans,Super Shy
6,NewJeans,ETA
7,전소미,Fast Forward
8,우디 (Woody),사막에서 꽃을 피우듯
9,박재정,헤어지자 말해요
10,화사 (HWASA),I Love My Body
11,IVE (아이브),I AM
12,임영웅,사랑은 늘 도망가
13,STAYC(스테이씨),Bubble
14,(여자)아이들,퀸카 (Queencard)
15,임영웅,모래 알갱이
16,정국,Still With You
17,임영웅,우리들의 블루스
18,로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
19,임영웅,다시 만날 수 있을까
20,NewJeans,Hype boy
21,Lauv,Steal The Show (From “엘리멘탈”)
22,LE SSERAFIM (르세라핌),"이브, 프시케 그리고 푸른 수염의 아내"
23,IVE (아이브),Either Way
24,임영웅,이제 나만 믿어요
25,aespa,Spicy
26,임영웅,무지개
27,IVE (아이브),Kitsch
28,임영웅,아버지
29,임영웅,London Boy
30,NewJeans,Ditto
31,임영웅,Polaroid
32,V,Love Me Again
33,NewJeans,New Jeans
34,임영웅,인생찬가
35,이세계아이돌,KIDDING
36,ITZY (있지),CAKE
37,임영웅,A bientot
38,Paul Blanco,Summer (Feat. BE’O (비오))
39,임영웅,손이 참 곱던 그대
40,임영웅,사랑해 진짜
41,임영웅,연애편지
42,LE SSERAFIM (르세라핌),UNFORGIVEN (feat. Nile Rodgers)
43,윤하 (YOUNHA),사건의 지평선
44,IVE (아이브),After LIKE
45,BIG Naughty (서동현),Vancouver 2
46,방탄소년단,Dynamite
47,성시경,너의 모든 순간
48,AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
49,NewJeans,OMG
50,탑현,나에게 그대만이
